exercise_id,name_ptbr,drive_id,arquivo_original_drive,status
ex_258,Remada cavalinho (T-Bar Row),1US60qFabqohCLE0t0H1FPkP8j6RboGAs,REMADA CAVALINHO T-BAR.MOV,ok
ex_259,Back Extension 45° (Roman Chair),1Am4odFasU6LyU70rOeefxuy2U55TPIKS,BACK EXENSION.MOV,ok
ex_260,Remada cavalinho na maquina pegada neutra,1Vb8ur3fkOEJzBbLEDgU2mjUFTuruOw5j,REMADA CAVALINHO NA MAQUINA PEGADA FECHADA.MOV,ok
ex_261,Pull Up (Graviton),1asgsuNOyehtxLlJ-OHw4T7esD51U5Ch6,PULL UP NO GRAVITON.MOV,ok
ex_262,Remada baixa aberta pronada,1GUP9xv99staKFPnIEuAFltiaPmjvaoSx,REMADA BAIXA ABERTA PRONADA.MOV,ok
ex_263,Remada no TRX,1hFBQKEd1dV9v_N6fZhbnQIEcKa0KNgId,REMADA NO TRX.MOV,ok
ex_264,Polichinelo,1_sRfFYnPN3AaPhfl-GzEE_q5u1a7S6JV,POLICHINELO.MOV,ok
ex_265,Burpee,1p0B4GsxOCqnYSITbjBi91JrW16R1nzV5,BURPEE.MOV,ok
ex_266,Mountain climber,1rFNlnn5LlD-mmh2-oNmt904477T0PTSy,MONTAINCLIMBER.MOV,ok
ex_267,Pular corda,1yWUccxuKLNtL_XcoWsnsvmV3YMny0qth,PULAR CORDA.MOV,ok
ex_268,Esteira (corrida),1x-lBvNu-T1DEqGEgMuzPpNrLfYWzxT0_,CORRIDANAESTEIRA.MOV,ok
ex_269,Bicicleta ergométrica,16htUUQ_5JfNNgrg4mtiop1FvvNM_i57X,BICICLETAERGOMETRICA.MOV,ok
ex_270,Elíptico,1rwoijZQOOpsCU7JvcJbkppBlZ4RDbp1e,ELIPTICO.MOV,ok
ex_271,Treino intervalado na escada,1rwoijZQOOpsCU7JvcJbkppBlZ4RDbp1e,ELIPTICO.MOV,ok
ex_276,Corrida estacionária com calcanhar no glúteo,1SH0IE0fTkvNImzuWcILSrOrdMH9UnZhT,CORRIDAESTACIONARIACOMCALCANHARNOGLUTEO.MOV,ok
ex_277,Salto de corda simples,1ru412V_C29DoehB7Td6AtAxEsCW5-X_l,SALTO CORDA.MOV,ok
ex_278,Remada em máquina (Row),11CeYfv61vnfr7GaZ53mpW0kAFgsO5nqT,REMADAEMMAQUINAROW.MOV,ok
